75,maxim,april showers,jbs,"Sewe, Sala",89,,
88,discussion,holon,jbs,"Mali; Engelhardt, Joseph Gary",86,,
123,chat,may day,jbs,"Eads, Andrew; Tihonove, Sergey; Sotan",67,sp,
191,meme,head on toki ike,jbs,"sewe, sala",33,,
207,chat ,Cake band,jbs,-,17,,
208,chat,badly drawn boy,jbs,"sewe, pilo, kipo, Miles, marcus",85,,
212,translation,poem kama sona open mi,jbs,-,137,Walt Whitman,not finished
223,vignette,cake concert,jbs,"sewe, campbell",221,,
230,chat,Texas,jbs,kipo,39,,
250,maxim,"hurt people, pu",jbs,"moniz, wiki, ddii, kipo",161,,
257,news,UK/ EU,jbs,sewe,105,,
274,translation,poetry Metaphysics,jbs,-,43,"Ginsberg, Alan",
278,vignette,oboe,jbs,"Crom, James",87,,
